QUERY_ID;QUERY_TEXT
51;concessão remunerada de uso de bens públicos modalidade
52;citação válida falecimento
53;garantia contratual patrimônio líquido mínimo
54;garantia de participação patrimônio líquido mínimo
55;despesas sem cobertura contratual multa
56;uso de áreas comerciais em aeroportos pregão
57;cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação
58;capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação
59;extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços
60;responsabilidade do gestor sucessor omissão do antecessor
61;projeto de parceria público-privada modalidade
62;objeto do certame contrato social licitante
63;responsabilidade gestão dos recursos Fundo Municipal de Saúde
64;pesquisa de mercado orçamento fornecedores
65;pesquisa de preços obrigatória em licitações
66;vantajosidade adesão à ata
67;compensação entre acréscimos e supressões contratos administrativos
68;vedado restabelecimento item suprimido
69;marca aquisição cartuchos
70;SUS recursos União competência do TCU
71;preços referenciais sistemas oficiais estimativa de custos
72;ponderação técnica e preço
73;pontuação desarrazoada licitações técnica e preço
74;prorrogação de contrato administrativo término prazo de vigência
75;atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional
76;reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade
77;aquisição direta risco a saúde
78;pregão divulgação dos preços estimados no edital
79;instrutor treinamento inexigibilidade de licitação
80;reajuste de preços e repactuação
81;recomposição reajuste
82;retenção de pagamentos perda da regularidade fiscal
83;irregulares despesas desnecessárias e anteriores à celebração do contrato
84;vínculo trabalhista ou societário pré-existente competitividade das licitantes
85;técnica e preço profissionais quadro permanente
86;erro material desclassificação da proposta
87;vedação à inclusão documento habilitação diligência
88;exigência comprovação de quantitativos mínimos características semelhantes
89;extensão sanção de impedimento de licitar e contratar
90;habilitação técnico-operacional obras e serviços de engenharia
91;controle adesão
92;alvará de funcionamento habilitação jurídica
93;acumulação de cargo secretário municipal professor
94;prescrição da pretensão punitiva julgamento das contas
95;Banco de Preços em Saúde referência medicamentos
96;alteração contratual serviços já previstos no edital 
97;licitação princípio da legalidade estrita afastado
98;renovação de contrato serviços de natureza continuada pesquisa de preços
99;contratações de software cartas de exclusividade
100;assistência médica a servidores
