QUERY_ID,DOC_ID,ORDER
13568,94,1
13568,14803,2
13568,3302,3
13568,96,4
13568,2021,5
11614,1364,1
11614,741,2
11614,4688,3
11614,1056,4
11614,1215,5
21087,3423,1
21087,3626,2
21087,5223,3
21087,453,4
21087,1197,5
35016,1101432,1
35016,716,2
35016,15965,3
35016,15826,4
35016,1101358,5
29370,2960,1
29370,31,2
29370,15626,3
29370,1960,4
29370,1289,5
28925,14767,1
28925,1442,2
28925,1381,3
28925,1496,4
28925,2821,5
24192,5125,1
24192,1103608,2
24192,4003,3
24192,1114,4
24192,5254,5
34896,796,1
34896,342,2
34896,5098,3
34896,15275,4
34896,2935,5
28866,1526,1
28866,14823,2
28866,1104453,3
28866,1100036,4
28866,310,5
19690,14823,1
19690,5095,2
19690,631,3
19690,1525,4
19690,1101167,5
19575,14754,1
19575,15106,2
19575,4136,3
19575,4138,4
19575,3093,5
34725,384,1
34725,4485,2
34725,1100986,3
34725,1101152,4
34725,143,5
28488,251,1
28488,1298,2
28488,1243,3
28488,1157,4
28488,4811,5
13629,1018,1
13629,15996,2
13629,15991,3
13629,1100565,4
13629,1100212,5
34741,1089,1
34741,1243,2
34741,4728,3
34741,1101003,4
34741,2134,5
13653,631,1
13653,5095,2
13653,2369,3
13653,396,4
13653,1243,5
21267,295,1
21267,5464,2
21267,932,3
21267,1952,4
21267,6398,5
17828,1107170,1
17828,1103166,2
17828,15457,3
17828,3210,4
17828,1106594,5
17865,15219,1
17865,16272,2
17865,4055,3
17865,5322,4
17865,1103782,5
17864,390,1
17864,15219,2
17864,1442,3
17864,4055,4
17864,1100853,5
17911,1202,1
17911,1002,2
17911,1104724,3
17911,932,4
17911,1203,5
42264,16281,1
42264,16272,2
42264,16274,3
42264,1401,4
42264,15326,5
34799,1100045,1
34799,1100046,2
34799,712,3
34799,287,4
34799,15275,5
22957,477,1
22957,5095,2
22957,1056,3
22957,15275,4
22957,1215,5
26566,3280,1
26566,1100323,2
26566,2369,3
26566,5223,4
26566,3281,5
20621,1068,1
20621,1114454,2
20621,1965,3
20621,1247,4
20621,3736,5
17100,1108757,1
17100,544,2
17100,3133,3
17100,1104130,4
17100,1106430,5
14258,3133,1
14258,16086,2
14258,1104122,3
14258,1274,4
14258,16085,5
14254,5229,1
14254,5464,2
14254,5223,3
14254,6398,4
14254,83,5
13183,4115,1
13183,1965,2
13183,1247,3
13183,1068,4
13183,1433,5
13181,525,1
13181,1247,2
13181,1965,3
13181,1249,4
13181,522,5
13182,1068,1
13182,1138,2
13182,3133,3
13182,3674,4
13182,6036,5
13156,1100291,1
13156,1138,2
13156,932,3
13156,1114826,4
13156,2183,5
42402,5229,1
42402,1101075,2
42402,1247,3
42402,5288,4
42402,1100735,5
27882,5005,1
27882,1296,2
27882,1100565,3
27882,15000,4
27882,14835,5
27019,14825,1
27019,1685,2
27019,4695,3
27019,15291,4
27019,1213,5
25346,115,1
25346,652,2
25346,887,3
25346,1283,4
25346,1104447,5
17159,1103534,1
17159,1022,2
17159,1965,3
17159,2429,4
17159,1247,5
13616,390,1
13616,1100853,2
13616,15274,3
13616,15749,4
13616,1682,5
42442,5464,1
42442,370,2
42442,2628,3
42442,5095,4
42442,2054,5
21257,53,1
21257,3467,2
21257,3705,3
21257,2952,4
21257,2906,5
14937,932,1
14937,1100070,2
14937,15502,3
14937,15446,4
14937,6155,5
29669,376,1
29669,1103362,2
29669,3289,3
29669,251,4
29669,15342,5
34961,1118226,1
34961,5242,2
34961,1100888,3
34961,327,4
34961,1213,5
17880,1467,1
17880,1110195,2
17880,1104715,3
17880,1421,4
17880,6133,5
22953,6423,1
22953,5095,2
22953,3289,3
22953,246,4
22953,855,5
34804,342,1
34804,15214,2
34804,2553,3
34804,536,4
34804,15158,5
22959,14850,1
22959,15277,2
22959,15278,3
22959,1106794,4
22959,1943,5
34905,15905,1
34905,5218,2
34905,5232,3
34905,15299,4
34905,15082,5
23000,2865,1
23000,14822,2
23000,15383,3
23000,1104208,4
23000,3034,5
20628,2068,1
20628,3514,2
20628,2094,3
20628,536,4
20628,1518,5
17118,3514,1
17118,1391,2
17118,6640,3
17118,15826,4
17118,134,5
22934,14849,1
22934,1102247,2
22934,14850,3
22934,1231,4
22934,1108284,5
25610,1736,1
25610,365,2
25610,1100560,3
25610,15996,4
25610,1113906,5
28882,1102009,1
28882,412,2
28882,1966,3
28882,2497,4
28882,2114,5
19537,32,1
19537,15615,2
19537,169,3
19537,868,4
19537,4809,5
19513,4759,1
19513,4762,2
19513,4760,3
19513,3852,4
19513,5393,5
25607,1157,1
25607,14718,2
25607,5095,3
25607,1243,4
25607,1102551,5
13597,1095,1
13597,2706,2
13597,1113896,3
13597,5288,4
13597,1114831,5
13564,15790,1
13564,932,2
13564,483,3
13564,15113,4
13564,16187,5
26549,365,1
26549,15326,2
26549,1211,3
26549,1526,4
26549,1101838,5
17943,1100142,1
17943,260,2
17943,1902,3
17943,1953,4
17943,2798,5
17963,5229,1
17963,1100861,2
17963,15915,3
17963,5223,4
17963,1249,5
22990,1397,1
22990,15462,2
22990,1100897,3
22990,5307,4
22990,444,5
28088,1114088,1
28088,5095,2
28088,1113980,3
28088,1104440,4
28088,135,5
42272,1100610,1
42272,1791,2
42272,1100756,3
42272,1101829,4
42272,14880,5
30104,16005,1
30104,41,2
30104,5043,3
30104,1563,4
30104,3036,5
19671,197,1
19671,1258,2
19671,15754,3
19671,333,4
19671,16,5
20633,968,1
20633,503,2
20633,1101169,3
20633,4528,4
20633,1138,5
23334,97,1
23334,5075,2
23334,1298,3
23334,169,4
23334,6468,5
19689,579,1
19689,5029,2
19689,14957,3
19689,409,4
19689,879,5
23004,841,1
23004,557,2
23004,1100036,3
23004,5095,4
23004,5464,5
22101,1948,1
22101,685,2
22101,204,3
22101,15651,4
22101,741,5
21916,15114,1
21916,2955,2
21916,15115,3
21916,1289,4
21916,1625,5
18951,14927,1
18951,509,2
18951,514,3
18951,1258,4
18951,15319,5
23209,1018,1
23209,1451,2
23209,1107141,3
23209,1101209,4
23209,14871,5
18030,2556,1
18030,1118254,2
18030,337,3
18030,14,4
18030,1635,5
21129,1100269,1
21129,1138,2
21129,4576,3
21129,4455,4
21129,2017,5
14274,1100071,1
14274,857,2
14274,1101909,3
14274,15097,4
14274,180,5
35279,2485,1
35279,15492,2
35279,1119608,3
35279,816,4
35279,656,5
20213,4196,1
20213,550,2
20213,554,3
20213,1784,4
20213,4197,5
25375,15340,1
25375,4758,2
25375,1381,3
25375,1563,4
25375,5259,5
29683,370,1
29683,649,2
29683,405,3
29683,1080,4
29683,15278,5
29819,1326,1
29819,15647,2
29819,15326,3
29819,1401,4
29819,1118229,5
18372,331,1
18372,15035,2
18372,1100157,3
18372,1962,4
18372,1106727,5
18120,15232,1
18120,1104404,2
18120,4333,3
18120,444,4
18120,1105656,5
27079,1405,1
27079,1760,2
27079,1756,3
27079,1100865,4
27079,5223,5
28531,887,1
28531,96,2
28531,5075,3
28531,2021,4
28531,1157,5
18371,1292,1
18371,2556,2
18371,1118254,3
18371,5841,4
18371,1188,5
29817,1747,1
29817,4129,2
29817,169,3
29817,4079,4
29817,1104182,5
25419,5259,1
25419,1116,2
25419,14933,3
25419,1320,4
25419,1100049,5
23117,1033,1
23117,1101403,2
23117,1101404,3
23117,268,4
23117,4286,5
39211,6665,1
39211,14967,2
39211,5884,3
39211,4003,4
39211,1349,5
19717,5300,1
19717,888,2
19717,2183,3
19717,134,4
19717,2628,5
18052,950,1
18052,483,2
18052,1701,3
18052,932,4
18052,2041,5
15439,1215,1
15439,14823,2
15439,1113935,3
15439,2554,4
15439,1739,5
27087,5912,1
27087,1410,2
27087,1332,3
27087,1244,4
27087,763,5
35039,775,1
35039,1100888,2
35039,1103362,3
35039,4605,4
35039,14835,5
19734,14841,1
19734,5095,2
19734,1101073,3
19734,4485,4
19734,4278,5
29401,3295,1
29401,649,2
29401,1442,3
29401,15987,4
29401,5387,5
18084,1231,1
18084,932,2
18084,240,3
18084,2054,4
18084,331,5
30294,159,1
30294,158,2
30294,187,3
30294,1100717,4
30294,1381,5
15328,1215,1
15328,1100197,2
15328,133,3
15328,874,4
15328,5307,5
23639,1453,1
23639,4003,2
23639,550,3
23639,4196,4
23639,554,5
23060,401,1
23060,331,2
23060,1791,3
23060,365,4
23060,1987,5
16104,3657,1
16104,6054,2
16104,1101909,3
16104,342,4
16104,1635,5
35231,14933,1
35231,5095,2
35231,1716,3
35231,15286,4
35231,2485,5
30319,3804,1
30319,92,2
30319,6665,3
30319,303,4
30319,167,5
15085,15918,1
15085,299,2
15085,579,3
15085,15705,4
15085,1100708,5
21228,685,1
21228,226,2
21228,15299,3
21228,973,4
21228,5234,5
21225,1290,1
21225,1197,2
21225,1496,3
21225,1960,4
21225,1635,5
34892,932,1
34892,5298,2
34892,1701,3
34892,1104173,4
34892,461,5
28504,1101871,1
28504,2553,2
