Enunciado de origem;Pesquisa por pergunta;Pesquisa por termos
"#2845
Em regra, o pregão é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos, com critério de julgamento pela maior oferta em lances sucessivos. ";Qual é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos?;concessão remunerada de uso de bens públicos modalidade
"#17360
É recomendável a utilização de pregão para a concessão remunerada de uso de bens públicos.";;
"#106389
Quando o falecimento do responsável ocorre após a apresentação da defesa, considera-se válida a citação e satisfeito o princípio do contraditório e ampla defesa, sem prejuízos à validade do julgamento das contas do falecido. O espólio ou os sucessores, caso tenha havido a partilha, passam a ocupar a posição do de <i>cujus</i> no processo de tomada de contas especial, respondendo pelo ressarcimento do dano ao erário, de natureza indenizatória, até o limite do patrimônio transferido. As consequências jurídicas sancionatórias, no entanto, são exclusivas do gestor, não se transferindo aos sucessores do falecido dada sua natureza personalíssima. ";A citação é considerada válida após o falecimento do responsável se a defesa já foi apresentada?;citação válida falecimento
"#48357
Não viola o art. 31, § 2º, da Lei 8.666/1993 o edital da licitação exigir comprovação de patrimônio líquido mínimo pelo licitante, para fins de qualificação econômico-financeira, concomitantemente com previsão de prestação de garantia contratual (art. 56) pelo contratado. Afronta aquele dispositivo legal a exigência simultânea de patrimônio líquido mínimo e de garantia de participação na licitação (art. 31, inciso III) como requisitos de habilitação.";A prestação de garantia contratual é permitida juntamente com a exigência de patrimônio líquido mínimo?;garantia contratual patrimônio líquido mínimo
"#19451
A realização de despesas sem cobertura contratual é irregularidade grave, que justifica a aplicação de multa aos responsáveis, bem como julgamento pela irregularidade de suas contas";Quais são as consequências para os responsáveis que realizam despesas sem cobertura contratual?;despesas sem cobertura contratual multa
"#18865
É cabível a utilização do pregão para concessões de uso de áreas comerciais em aeroportos, sendo considerada indevida a aplicação da lei de concessões, uma vez que o objeto licitado não é delegação de serviço público.";O pregão é adequado para concessões de uso de áreas comerciais em aeroportos?;uso de áreas comerciais em aeroportos pregão
"#5714
A cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios deve observar as normas atinentes à concessão remunerada de uso de bem público, utilizando-se na licitação, preferencialmente, a modalidade pregão eletrônico. ";Quais normas devem ser observadas na cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios?;cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação
"#71433
É obrigatório o estabelecimento de parâmetros objetivos para análise da comprovação (atestados de capacidade técnico-operacional) de que a licitante já tenha fornecido bens pertinentes e compatíveis em características, quantidades e prazos com o objeto da licitação (art. 30, inciso II, da Lei 8.666/1993) ";É necessário exigir ao licitante comprovar que já forneceu bens pertinentes e compatíveis com o objeto da licitação?;capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação
"#109695
A extrapolação excepcionalíssima dos limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços somente é possível se satisfeitas cumulativamente as seguintes exigências estabelecidas na Decisão 215/1999-Plenário: a) não acarretar para a Administração encargos contratuais superiores àqueles oriundos de uma eventual rescisão contratual por razões de interesse público, acrescidos aos custos da elaboração de um novo procedimento licitatório; b) não possibilitar a inexecução contratual, à vista do nível de capacidade técnica e econômico-financeira do contratado; c) decorrer de fatos supervenientes que impliquem dificuldades não previstas ou imprevisíveis por ocasião da contratação inicial; d) não ocasionar a transfiguração do objeto originalmente contratado em outro de natureza e propósito diversos; e) ser necessária para a completa execução do objeto original do contrato, para a otimização do cronograma de execução e para a antecipação dos benefícios sociais e econômicos decorrentes; f) restar demonstrado, na motivação do ato de alteração do contrato, que as consequências da rescisão contratual, seguida de nova licitação e contratação, importariam sacrifício insuportável ao interesse público a ser atendido pela obra ou serviço, inclusive quanto à sua urgência e emergência. ";É permitido a extrapolar os limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços?;extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços
"#34672
Caso a aplicação dos recursos transferidos, a vigência do convênio e o fim do prazo para prestação de contas tenham ocorrido na gestão do antecessor, verificada a omissão no dever de prestar contas não cabe imputar débito ao gestor sucessor. Contudo, não se exime o sucessor da responsabilidade de tomar providências judiciais no sentido de recompor o prejuízo e de obter os documentos necessários à prestação de contas e à instauração da tomada de contas especial. A não adoção das medidas necessárias enseja a corresponsabilização do gestor sucessor com aplicação de multa.";Qual a responsabilidade do gestor sucessor quando o gestor antecessor omitiu o dever de prestar contas?;responsabilidade do gestor sucessor omissão do antecessor
"#44162
Os serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede de iluminação pública são, em regra, serviços comuns, licitados na modalidade de pregão.";Qual é a modalidade de licitação utilizada para contratar serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo a infraestrutura de rede de iluminação pública?;projeto de parceria público-privada modalidade
"#13694
Para fins de habilitação jurídica nas licitações, faz-se necessária a compatibilidade entre o objeto do certame e as atividades previstas no contrato social das empresas licitantes.";O que acontece se não houver compatibilidade entre o objeto do certame e as atividades previstas no contrato social da empresa licitante?;objeto do certame contrato social licitante
"#13583
A responsabilidade pela gestão dos recursos do Fundo Municipal de Saúde é do secretário de saúde (art. 9º, inciso III, da Lei 8.080/1990) . Independentemente da participação de outros agentes na prática de determinados atos de administração dos recursos, remanesce para o secretário a responsabilidade primeira pela correta aplicação dos recursos e pelo alcance dos objetivos estabelecidos no Sistema Único de Saúde.";Quem é responsável pela gestão dos recursos do Fundo Municipal de Saúde?;responsabilidade gestão dos recursos Fundo Municipal de Saúde
"#31629
Quando da elaboração do orçamento-base da licitação, deve ser realizada ampla pesquisa de mercado para a formação dos preços orçados, utilizando-se de fontes oficiais ou de orçamentos emitidos por, no mínimo, três fornecedores, quando houver, a qual deverá necessariamente estar documentada no processo licitatório.";É obrigatória pesquisa de mercado na elaboração do orçamento-base da licitação?;pesquisa de mercado orçamento fornecedores
"#21864
É obrigatória, nos processos de licitação, dispensa ou inexigibilidade, a consulta dos preços correntes no mercado, dos fixados por órgão oficial competente ou, ainda, dos constantes em sistema de registro de preços. A ausência de pesquisa de preços configura descumprimento de exigência legal.";A pesquisa de preços correntes no mercado é obrigatória em licitações?;pesquisa de preços obrigatória em licitações
"#52912
A mera comparação dos valores constantes em ata de registro de preços com os obtidos junto a empresas consultadas na fase interna de licitação não é suficiente para configurar a vantajosidade da adesão à ata, haja vista que os preços informados nas consultas, por vezes superestimados, não serão, em regra, os efetivamente contratados. Deve o órgão não participante (""carona"") , com o intuito de aferir a adequação dos preços praticados na ata, se socorrer de outras fontes, a exemplo de licitações e contratos similares realizados no âmbito da Administração Pública.";O que fazer para verificar a vantajosidade da adesão à ata?;vantajosidade adesão à ata
"#147727
A mera comparação dos valores constantes em ata de registro de preços com os obtidos junto a empresas consultadas na fase interna de licitação não é suficiente para configurar a vantajosidade da adesão à ata, haja vista que os preços informados nas consultas, por vezes superestimados, não serão, em regra, os efetivamente contratados. Deve o órgão não participante (""carona"") , com o intuito de aferir a adequação dos preços praticados na ata, se socorrer de outras fontes, a exemplo de licitações e contratos similares realizados no âmbito da Administração Pública.";;
"#10089
Como regra geral, para atendimento dos limites definidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993, os acréscimos ou supressões nos montantes dos contratos firmados pelos órgãos e entidades da Administração Pública devem ser considerados de forma isolada, sendo calculados sobre o valor original do contrato, vedada a compensação entre acréscimos e supressões.";É permitida a compensação entre acréscimos e supressões nos contratos administrativos?;compensação entre acréscimos e supressões contratos administrativos
"#134594
As reduções ou supressões de quantitativos decorrentes de alteração contratual devem ser consideradas de forma isolada, ou seja, o conjunto de reduções e o conjunto de acréscimos devem ser sempre calculados sobre o valor original do contrato, aplicando-se a cada um desses conjuntos, individualmente e sem nenhum tipo de compensação entre eles, os limites de alteração estabelecidos no art. 65, § 1º, da Lei 8.666/1993.";;
"#104455
O restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual amparado no art. 65, §§ 1º e 2º, da Lei 8.666/1993, em razão de restrições orçamentárias, desde que observadas as mesmas condições e preços iniciais pactuados, não configura a compensação vedada pela jurisprudência do TCU, consubstanciada nos <acordao_decisao_tcu colegiado=""Plenário"" numero=""1536"" ano=""2016"" >acórdãos 1.536/2016-Plenário</acordao_decisao_tcu> e 2.554/2017-Plenário, visto que o objeto licitado fica inalterado, sendo possível, portanto, além do restabelecimento, novos acréscimos sobre o valor original do contrato, observados os limites estabelecidos no art. 65, § 1º, da Lei 8.666/1993.não configura a compensação vedada pela jurisprudência do TCU, consubstanciada nos <acordao_decisao_tcu colegiado=""Plenário"" numero=""1536"" ano=""2016"" >acórdãos 1.536/2016-Plenário</acordao_decisao_tcu> e 2.554/2017-Plenário, visto que o objeto licitado fica inalterado, sendo possível, portanto, além do restabelecimento, novos acréscimos sobre o valor original do contrato, observados os limites estabelecidos no art. 65, § 1º, da Lei 8.666/1993.";Quais são as condições para que o restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual não configure compensação vedada pela jurisprudência do TCU?;vedado restabelecimento item suprimido
"#34132
Em licitações para aquisição de tonalizadores e cartuchos de tinta para impressoras ou outros produtos análogos, a Administração deve evitar a indicação de preferência por marcas, ante a falta de amparo legal, salvo na hipótese em que fique demonstrado tecnicamente que só determinada marca atenderá à necessidade da Administração, situação devidamente justificada e demonstrada no processo.";A Administração pode indicar preferência por marcas em licitações para aquisição de cartuchos de tinta?;marca aquisição cartuchos
"#13633
Não se admite, como regra, a especificação de marca para aquisição de cartuchos para impressoras. No entanto, o Tribunal aceita esse tipo de exigência quando os equipamentos em que os cartuchos serão utilizados estiverem em período de garantia e os termos de garantia previrem que ela somente se aplicará caso os produtos neles utilizados forem originais.";;
"#13553
Os recursos repassados pela União, no âmbito do Sistema Único de Saúde, aos estados, ao Distrito Federal e aos municípios constituem recursos federais. Estão sujeitos à fiscalização do TCU as ações e os serviços de saúde pagos à conta desses recursos, quer sejam transferidos mediante convênio, quer sejam repassados com base em outro instrumento ou ato legal.";O TCU é responsável pela fiscalização das ações e serviços de saúde pagos com recursos repassados pela União no âmbito do Sistema Único de Saúde?;SUS recursos União competência do TCU
"#22165
No caso de não ser possível obter preços referenciais nos sistemas oficiais para a estimativa de custos em processos licitatórios, deve ser realizada pesquisa de preços contendo o mínimo de três cotações de empresas/fornecedores distintos, fazendo constar do respectivo processo a documentação comprobatória pertinente aos levantamentos e estudos que fundamentaram o preço estimado. Caso não seja possível obter esse número de cotações, deve ser elaborada justificativa circunstanciada.";O que deve ser feito se não for possível obter preços referenciais nos sistemas oficiais para estimativa de custos em processos licitatórios?;preços referenciais sistemas oficiais estimativa de custos
"#21159
A adoção, em licitação do tipo técnica e preço, de peso excessivamente elevado para a pontuação técnica em relação à de preço, sem justificativa plausível, e de critérios subjetivos de julgamento das propostas contraria o disposto nos arts. 3º, 40, inciso VII, 44, § 1º, e 45, da Lei 8.666/1993.";É necessária ponderação entre a pontuação técnica e a de preço em uma licitação do tipo técnica e preço?;ponderação técnica e preço
"#21229
O estabelecimento de critério de pontuação técnica, em licitação do tipo técnica e preço, que valoriza excessivamente determinado quesito, em detrimento do preço, restringe o caráter competitivo do certame e compromete a obtenção da proposta mais vantajosa para a Administração.";Qual é o impacto de valorizar excessivamente um quesito na licitação do tipo técnica e preço?;
"#133563
Em licitações do tipo técnica e preço, o edital deve definir critérios objetivos para a gradação das notas a serem dadas a cada quesito da avaliação técnica, assim como distribuir a pontuação técnica de modo proporcional à relevância de cada quesito para a execução do objeto contratual, de forma a permitir o julgamento objetivo das propostas e evitar o estabelecimento de pontuação desarrazoada, limitadora da competitividade.";Como a pontuação desarrazoada pode limitar a competitividade nas licitações do tipo técnica e preço?;pontuação desarrazoada licitações técnica e preço
"#693
Em regra a prorrogação do contrato administrativo deve ser efetuada antes do término do prazo de vigência, mediante termo aditivo, para que não se opere a extinção do ajuste. Entretanto, excepcionalmente e para evitar prejuízo ao interesse público, nos contratos de escopo, diante da inércia do agente em formalizar tempestivamente o devido aditamento, é possível considerar os períodos de paralisação das obras por iniciativa da Administração contratante como períodos de suspensão da contagem do prazo de vigência do ajuste.";É possível prorrogar um contrato administrativo fora do término do prazo de vigência?;prorrogação de contrato administrativo término prazo de vigência
