ID,KEY,COUNT,QUERY
2845,JURISPRUDENCIA-SELECIONADA-2845,151,concessão e pregão
106389,JURISPRUDENCIA-SELECIONADA-106389,101,especial e sucessor$
17360,JURISPRUDENCIA-SELECIONADA-17360,96,concessão e pregão
48357,JURISPRUDENCIA-SELECIONADA-48357,81,garantia e patrimônio líquido
18865,JURISPRUDENCIA-SELECIONADA-18865,77,concessão e pregão
19451,JURISPRUDENCIA-SELECIONADA-19451,73,despesa e sem e cobertura e contratual
5714,JURISPRUDENCIA-SELECIONADA-5714,62,concessão e pregão
34672,JURISPRUDENCIA-SELECIONADA-34672,60,especial e sucessor$
109695,JURISPRUDENCIA-SELECIONADA-109695,54,aditivo e superior e limites 
44162,JURISPRUDENCIA-SELECIONADA-44162,54,"parceria público e privada e ""pregão"""
71433,JURISPRUDENCIA-SELECIONADA-71433,51,"caracteróticas, quantidades e prazos"
13583,JURISPRUDENCIA-SELECIONADA-13583,48,ana arraes e saúde
13694,JURISPRUDENCIA-SELECIONADA-13694,46, compatibilidade entre o objeto do certame e as atividades previstas no contrato social
31629,JURISPRUDENCIA-SELECIONADA-31629,40,pesquisa e preço e três
34132,JURISPRUDENCIA-SELECIONADA-34132,39,marcas e aquisição e cartuchos
13553,JURISPRUDENCIA-SELECIONADA-13553,36,ana arraes e saúde
29832,JURISPRUDENCIA-SELECIONADA-29832,28,"""boa-fé"" e erro"
105994,JURISPRUDENCIA-SELECIONADA-105994,27,a regra para a contratação de serviços advocatícios é a licitação
17105,JURISPRUDENCIA-SELECIONADA-17105,25,ana arraes e saúde
22165,JURISPRUDENCIA-SELECIONADA-22165,23,pesquisa e preço e três
33081,JURISPRUDENCIA-SELECIONADA-33081,22,vínculo e licitação
13633,JURISPRUDENCIA-SELECIONADA-13633,20,marcas e aquisição e cartuchos
17892,JURISPRUDENCIA-SELECIONADA-17892,17,ana arraes e saúde
25757,JURISPRUDENCIA-SELECIONADA-25757,17,garantia e patrimônio líquido
106764,JURISPRUDENCIA-SELECIONADA-106764,16,adicional de insalubridade  e raio x
45379,JURISPRUDENCIA-SELECIONADA-45379,16,art. 28 e alvará
18843,JURISPRUDENCIA-SELECIONADA-18843,15,a regra para a contratação de serviços advocatícios é a licitação
28445,JURISPRUDENCIA-SELECIONADA-28445,15,pccs e pensão e sentença
21835,JURISPRUDENCIA-SELECIONADA-21835,15,pesquisa e mercado e preço
52912,JURISPRUDENCIA-SELECIONADA-52912,14,pesquisa e mercado e preço
17204,JURISPRUDENCIA-SELECIONADA-17204,14,aditivo e compensação
17220,JURISPRUDENCIA-SELECIONADA-17220,14,pagamento a contratada
26488,JURISPRUDENCIA-SELECIONADA-26488,14,descumprimento  recomendações e 
10089,JURISPRUDENCIA-SELECIONADA-10089,14,aditivo e compensação
21194,JURISPRUDENCIA-SELECIONADA-21194,14,pesquisa e mercado e preço
136013,JURISPRUDENCIA-SELECIONADA-136013,13,sicro e sinapi
18017,JURISPRUDENCIA-SELECIONADA-18017,13,aditivo e compensação
19614,JURISPRUDENCIA-SELECIONADA-19614,13,diarias  e passagens
34146,JURISPRUDENCIA-SELECIONADA-34146,13,marcas e aquisição e cartuchos
18060,JURISPRUDENCIA-SELECIONADA-18060,13,despesa e sem e cobertura e contratual
16950,JURISPRUDENCIA-SELECIONADA-16950,12,licitação e preço de mercado
43098,JURISPRUDENCIA-SELECIONADA-43098,12,"""técnica e preço"""
64928,JURISPRUDENCIA-SELECIONADA-64928,12,inexigibilidade e exclusividade
71456,JURISPRUDENCIA-SELECIONADA-71456,12,preço e medicamento
17209,JURISPRUDENCIA-SELECIONADA-17209,12,aditivo e compensação
21814,JURISPRUDENCIA-SELECIONADA-21814,12,marca e padronização
21159,JURISPRUDENCIA-SELECIONADA-21159,12,tecnica e preço
16996,JURISPRUDENCIA-SELECIONADA-16996,12,pesquisa e preço
134594,JURISPRUDENCIA-SELECIONADA-134594,12,acréscimos e supressões
34698,JURISPRUDENCIA-SELECIONADA-34698,12,fraude e direcionamento
21817,JURISPRUDENCIA-SELECIONADA-21817,11,garantia e patrimônio líquido
20588,JURISPRUDENCIA-SELECIONADA-20588,11,diligência e licitação
31684,JURISPRUDENCIA-SELECIONADA-31684,11,diarias  e passagens
181,JURISPRUDENCIA-SELECIONADA-LEGADA-181,11,pregão e quantidades
103458,JURISPRUDENCIA-SELECIONADA-103458,11,pesquisa e preço
46218,JURISPRUDENCIA-SELECIONADA-46218,11,"28, §3º, inciso i da lei 13.303/2016"
5435,JURISPRUDENCIA-SELECIONADA-5435,11,sicro e sinapi
