query,count,#docs
técnica e preço,81,185
restos a pagar,60,17
"""técnica e preço""",54,98
contrato e aditivo,54,212
adesão a ata de registro de preços,31,43
sobrepreço e superfaturamento,28,73
restrição a competitividade,25,134
adesão a ata,21,43
acréscimos e supressões,19,38
acúmulo e pensão e morte e militar,18,2
obras e serviços de engenharia,18,598
contratos e fiscalização,17,153
diarias  e passagens,16,21
bens e serviços comuns,16,48
diárias e passagens,16,21
qualificação e técnica,16,426
parcelas de maior relevância e valor significativo,15,13
despesa e sem e cobertura e contratual,14,8
decreto-lei 4.657/1942 e (art. 28),14,42
contas e materialidade,13,32
inexequibilidade e comprovação,13,26
impedimento de licitar e contratar,13,10
aditivo e obra,13,60
fraude e licitacao,13,179
auditoria e interna,13,10
o fracionamento de despesas,13,49
"""morte"" e ""óbito"" ",13,260
novo e improrrogável prazo,12,38
inidoneidade e licitante,12,59
licitações e contratos,12,616
a exigência de atestado de capacidade,12,76
contrato com a administração pública,12,181
inexigibilidade e singularidade,12,48
mera participação e epp,11,8
decisão e judicial,11,494
é possível a aplicação concomitante,11,6
reajuste e contrato,11,41
publicidade e concurso público,11,30
falecimento e multa,11,34
independência e instâncias e penal,11,38
fiscal e contrato,11,121
planejamento e estratégico,11,34
tecnica e preço,10,185
sistema  e s e licitação,10,65
citação e validade,10,84
multa a particulares,10,4
licitação e preço de mercado,10,206
edital e modificação,10,29
marca e padronização,10,9
interesse e recíproco,10,14
pesquisa e preços,10,95
planilha de custos e formação de preços,10,19
"""nexo de causalidade"" e recibo e cachê",9,13
publicidade e propaganda,9,39
processo seletivo e sistema s,9,19
licitação e modalidade,9,174
antecipação e pagamento,9,29
adesão e ata,9,42
patrocínio e contas,9,23
adesão e registro,9,43
princípio e vinculação,9,66
empresas estatais e lei das licitações,9,71
"""restos a pagar""",9,17
empresas e consórcio,9,35
prorrogação e excepcional,9,10
inexigibilidade e software,9,7
prescrição e interrupção,8,32
"""impedimento de licitar"" e ""abrangência""",8,2
licitação  e qualificação técnica,8,400
pregão e engenharia,8,37
medida e cautelar,8,157
execução contrato e serviço não previsto,8,150
prazo e instauração e tce,8,23
prazo de vigência e execução,8,13
prorrogação e contrato,8,127
rede e credenciada,8,26
restos a pagar não processados,8,17
dano direto e imediato,8,4
vinculação e esclarecimento,8,4
aditivo e alteração ,8,80
solução e tic,8,7
princípio da eficiência e da estrita legalidade,8,2
empresa pequeno porte  e faturamento,7,15
multa e gestor,7,171
conselhos de fiscalização profissional e jetons e diárias e auxílio,7,3
prestação de contas e documentos,7,84
fiscalizacao  e contratos,7,150
"""pregão presencial"" e justificativa",7,12
acumulação e 60 horas,7,21
representante e legitimidade,7,9
responsabilidade e prefeito,7,118
salários e convenção,7,62
efeito suspensivo e recursos,7,86
falecimento e débito,7,41
"""diárias e passagens""",7,12
modalidade presencial e pregão,7,6
dispensa e valor,7,74
contratação e serviços e advocatícios,7,44
excesso de formalismo e desclassificação,7,1
contraditório e ampla defesa,7,260
pregão e inexequibilidade,7,8
termo de abertura e encerramento,7,1
somatório e atestados,7,11
parcelamento e divida,7,39
* e licitações,7,3865
pagamento e pagamento contrato,7,258
contratação emergencial e dispensa de licitação,7,27
adesão a ata ,7,43
contrato e patrocínio,7,17
escritório de advocacia e contratação direta e licitação,7,4
"revelia ""novo e improrrogável prazo""",7,22
planejamento e contratações,7,94
mandado e injunção,7,14
fundo nacional de desenvolvimento e educação,7,9
pensão a companheira,7,71
técnica e preço peso proposta,7,11
pessoal e convênio,7,49
inidoneidade e direcionamento,7,3
comprovação e garantia,7,18
independência e instâncias,7,190
atestado e capacidade e técnica,7,154
efeitos suspensivos e recursos,6,86
prescrição e 2023,6,15
vedação e consórcio,6,16
prorrogação e emergencial,6,5
responsabilização e culpa ,6,48
prescrição e recurso de revisão,6,4
ausência e pressupostos,6,62
responsabilidade solidária e consórcio,6,6
aposentadoria e pensão,6,242
preço compatível com o mercado,6,25
lei de incentivo a cultura,6,15
tomada e especial e decisão e judicial,6,14
ausência de pressupostos desenvolvimento válido e regular do processo ,6,36
pagamento e antecipado,6,38
"""repartição"" e ""riscos""",6,3
equilíbrio e econômico e financeiro,6,114
credenciamento e prazo,6,3
recurso e pregão,6,38
erro e grosseiro,6,68
responsabilidade e prefeito e convênio,6,104
efeito e suspensivo e recurso e revisão,6,14
ressarcimento e judicial,6,60
risco e negócio,6,24
nulidade e citação,6,36
multa e proporcionalidade,6,15
ao contraditório e  ampla defesa,6,266
"""não previsto"" e edital",6,82
irpj e csll,6,24
revogação e licitação,6,16
multa e falecimento,6,35
rateio e fpm,6,4
retenção e pagamento e contrato,6,26
