QUERY_ID,RANK,DOC_ID,ENGINE
1,1,21064,STS+Reranker
1,2,42166,STS+Reranker
1,3,13702,STS+Reranker
1,4,20592,STS+Reranker
1,5,15740,STS+Reranker
1,6,53641,STS+Reranker
1,7,31601,STS+Reranker
1,8,20506,STS+Reranker
1,9,47161,STS+Reranker
1,10,20971,STS+Reranker
1,11,42972,STS+Reranker
1,12,72884,STS+Reranker
1,13,37613,STS+Reranker
1,14,21072,STS+Reranker
1,15,20970,STS+Reranker
1,16,34233,STS+Reranker
1,17,2966,STS+Reranker
1,18,143246,STS+Reranker
1,19,21229,STS+Reranker
1,20,3225,STS+Reranker
1,21,34126,STS+Reranker
1,22,21207,STS+Reranker
1,23,20869,STS+Reranker
1,24,14522,STS+Reranker
1,25,20871,STS+Reranker
1,26,20969,STS+Reranker
1,27,133563,STS+Reranker
1,28,21285,STS+Reranker
1,29,20586,STS+Reranker
1,30,20870,STS+Reranker
1,31,15180,STS+Reranker
1,32,29393,STS+Reranker
1,33,32994,STS+Reranker
1,34,32997,STS+Reranker
1,35,18324,STS+Reranker
1,36,13645,STS+Reranker
1,37,21225,STS+Reranker
1,38,51881,STS+Reranker
1,39,33082,STS+Reranker
1,40,33886,STS+Reranker
1,41,21164,STS+Reranker
1,42,32995,STS+Reranker
1,43,108867,STS+Reranker
1,44,19431,STS+Reranker
1,45,21135,STS+Reranker
1,46,21923,STS+Reranker
1,47,20538,STS+Reranker
1,48,16908,STS+Reranker
1,49,20885,STS+Reranker
1,50,20985,STS+Reranker
1,51,15669,STS+Reranker
1,52,20557,STS+Reranker
1,53,14781,STS+Reranker
1,54,28936,STS+Reranker
1,55,16923,STS+Reranker
1,56,112817,STS+Reranker
1,57,17578,STS+Reranker
1,58,33016,STS+Reranker
1,59,22836,STS+Reranker
1,60,20887,STS+Reranker
1,61,22205,STS+Reranker
1,62,20917,STS+Reranker
1,63,31653,STS+Reranker
1,64,31273,STS+Reranker
1,65,15211,STS+Reranker
1,66,124534,STS+Reranker
1,67,16925,STS+Reranker
1,68,31534,STS+Reranker
1,69,28139,STS+Reranker
1,70,18918,STS+Reranker
1,71,33041,STS+Reranker
1,72,21274,STS+Reranker
1,73,34317,STS+Reranker
1,74,20482,STS+Reranker
1,75,33924,STS+Reranker
1,76,17127,STS+Reranker
1,77,21194,STS+Reranker
1,78,1986,STS+Reranker
1,79,21271,STS+Reranker
1,80,31628,STS+Reranker
1,81,91435,STS+Reranker
1,82,74542,STS+Reranker
1,83,47354,STS+Reranker
1,84,14911,STS+Reranker
1,85,13113,STS+Reranker
1,86,28937,STS+Reranker
1,87,33060,STS+Reranker
1,88,22119,STS+Reranker
1,89,19411,STS+Reranker
1,90,33936,STS+Reranker
1,91,20989,STS+Reranker
1,92,22816,STS+Reranker
1,93,21152,STS+Reranker
1,94,14817,STS+Reranker
1,95,21107,STS+Reranker
1,96,31652,STS+Reranker
1,97,20632,STS+Reranker
1,98,33059,STS+Reranker
