TIME,INDEX_NAME,RETRIEVER_TYPE,COUNT_QUERY_RUN,TOPK_RETRIEVER,TOPK_RANKER,COUNT_QUERY_WITHOUT_RESULT,COUNT_QUERY_NOT_FOUND,RANK1_MEAN,NDCG_MEAN,NDCG_LIMIT,TIME_SPENT_MEAN,RETRIEVER_MODEL_NAME,RANKER_MODEL_NAME,NDCG@5_MEAN,NDCG@10_MEAN,NDCG@15_MEAN,NDCG@20_MEAN,PRECISION@50_MEAN,PRECISION@100_MEAN,RECALL@50_MEAN,RECALL@100_MEAN
2023-Jun-26 20:44:08,indir_juris_tcu,bm25,150,300,0,0,0,2.367,58.502,15.0,0.122,,,,,,,,,,
2023-Jun-26 20:44:27,indir_juris_tcu_term,bm25,150,300,0,0,0,2.133,58.925,15.0,0.123,,,,,,,,,,
2023-Jun-26 20:44:46,indir_juris_tcu_synonym,bm25,150,300,0,0,0,2.3,57.717,15.0,0.124,,,,,,,,,,
2023-Jun-26 20:45:05,indir_juris_tcu_related_term,bm25,150,300,0,0,0,2.94,53.283,15.0,0.127,,,,,,,,,,
2023-Jun-26 20:45:25,indir_juris_tcu_synonym_related_term,bm25,150,300,0,0,0,2.42,54.757,15.0,0.129,,,,,,,,,,
2023-Jun-26 21:36:10,indir_juris_tcu,bm25,150,300,0,0,0,2.367,55.158,10.0,0.123,,,,,,,,,,
2023-Jun-26 21:36:28,indir_juris_tcu_term,bm25,150,300,0,0,0,2.133,55.707,10.0,0.122,,,,,,,,,,
2023-Jun-26 21:36:47,indir_juris_tcu_synonym,bm25,150,300,0,0,0,2.3,55.239,10.0,0.123,,,,,,,,,,
2023-Jun-26 21:37:06,indir_juris_tcu_related_term,bm25,150,300,0,0,0,2.94,51.054,10.0,0.127,,,,,,,,,,
2023-Jun-26 21:37:26,indir_juris_tcu_synonym_related_term,bm25,150,300,0,0,0,2.42,52.204,10.0,0.13,,,,,,,,,,
2023-Jun-26 23:04:25,indir_juris_tcu,bm25,10,300,0,0,0,4.0,,,0.116,,,61.355,54.968,60.173,62.804,,,,
2023-Jun-26 23:04:26,indir_juris_tcu_term,bm25,10,300,0,0,0,4.8,,,0.12,,,61.902,56.458,59.719,61.708,,,,
2023-Jun-26 23:04:28,indir_juris_tcu_synonym,bm25,10,300,0,0,0,4.4,,,0.12,,,47.29,43.691,46.945,48.873,,,,
2023-Jun-26 23:04:29,indir_juris_tcu_related_term,bm25,10,300,0,0,0,3.3,,,0.131,,,53.584,50.9,50.776,53.222,,,,
2023-Jun-26 23:04:30,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,3.1,,,0.126,,,50.107,49.319,50.215,52.931,,,,
2023-Jun-26 23:05:53,indir_juris_tcu,bm25,10,300,0,0,0,4.0,,,0.119,,,61.355,54.968,60.173,62.804,,,,
2023-Jun-26 23:05:55,indir_juris_tcu_term,bm25,10,300,0,0,0,4.8,,,0.112,,,61.902,56.458,59.719,61.708,,,,
2023-Jun-26 23:05:56,indir_juris_tcu_synonym,bm25,10,300,0,0,0,4.4,,,0.116,,,47.29,43.691,46.945,48.873,,,,
2023-Jun-26 23:05:57,indir_juris_tcu_related_term,bm25,10,300,0,0,0,3.3,,,0.125,,,53.584,50.9,50.776,53.222,,,,
2023-Jun-26 23:05:58,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,3.1,,,0.132,,,50.107,49.319,50.215,52.931,,,,
2023-Jun-26 23:07:15,indir_juris_tcu,bm25,10,300,0,0,0,4.0,,,0.114,,,61.355,54.968,60.173,62.804,,,,
2023-Jun-26 23:07:16,indir_juris_tcu_term,bm25,10,300,0,0,0,4.8,,,0.111,,,61.902,56.458,59.719,61.708,,,,
2023-Jun-26 23:07:17,indir_juris_tcu_synonym,bm25,10,300,0,0,0,4.4,,,0.111,,,47.29,43.691,46.945,48.873,,,,
2023-Jun-26 23:07:19,indir_juris_tcu_related_term,bm25,10,300,0,0,0,3.3,,,0.125,,,53.584,50.9,50.776,53.222,,,,
2023-Jun-26 23:07:20,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,3.1,,,0.123,,,50.107,49.319,50.215,52.931,,,,
2023-Jun-26 23:13:55,indir_juris_tcu,bm25,10,300,0,0,0,4.0,,,0.114,,,61.355,54.968,60.173,62.804,,,,
2023-Jun-26 23:13:57,indir_juris_tcu_term,bm25,10,300,0,0,0,4.8,,,0.111,,,61.902,56.458,59.719,61.708,,,,
2023-Jun-26 23:13:58,indir_juris_tcu_synonym,bm25,10,300,0,0,0,4.4,,,0.112,,,47.29,43.691,46.945,48.873,,,,
2023-Jun-26 23:13:59,indir_juris_tcu_related_term,bm25,10,300,0,0,0,3.3,,,0.124,,,53.584,50.9,50.776,53.222,,,,
2023-Jun-26 23:14:00,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,3.1,,,0.126,,,50.107,49.319,50.215,52.931,,,,
2023-Jun-26 23:14:05,indir_juris_tcu,bm25,10,300,0,0,0,4.0,,,0.112,,,61.355,54.968,60.173,62.804,15.8,8.8,52.667,58.667
2023-Jun-26 23:14:06,indir_juris_tcu_term,bm25,10,300,0,0,0,4.8,,,0.112,,,61.902,56.458,59.719,61.708,16.6,9.2,55.333,61.333
2023-Jun-26 23:14:07,indir_juris_tcu_synonym,bm25,10,300,0,0,0,4.4,,,0.111,,,47.29,43.691,46.945,48.873,15.6,9.0,52.0,60.0
2023-Jun-26 23:14:08,indir_juris_tcu_related_term,bm25,10,300,0,0,0,3.3,,,0.124,,,53.584,50.9,50.776,53.222,15.2,8.5,50.667,56.667
2023-Jun-26 23:14:10,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,3.1,,,0.125,,,50.107,49.319,50.215,52.931,15.2,8.5,50.667,56.667
2023-Jun-26 23:23:24,indir_juris_tcu,bm25,10,300,0,0,0,10.1,,,0.112,,,61.355,54.968,60.173,62.804,15.0,8.0,50.0,53.333
2023-Jun-26 23:23:26,indir_juris_tcu_term,bm25,10,300,0,0,0,8.7,,,0.113,,,61.902,56.458,59.719,61.708,15.6,8.1,52.0,54.0
2023-Jun-26 23:23:27,indir_juris_tcu_synonym,bm25,10,300,0,0,0,5.9,,,0.113,,,47.29,43.691,46.945,48.873,14.8,8.3,49.333,55.334
2023-Jun-26 23:23:28,indir_juris_tcu_related_term,bm25,10,300,0,0,0,17.8,,,0.125,,,53.584,50.9,50.776,53.222,14.6,8.0,48.667,53.334
2023-Jun-26 23:23:30,indir_juris_tcu_synonym_related_term,bm25,10,300,0,0,0,9.7,,,0.125,,,50.107,49.319,50.215,52.931,14.4,8.0,48.0,53.334
