TIME,COUNT_QUERY_RUN,COUNT_QUERY_WITHOUT_RESULT,COUNT_QUERY_NOT_FOUND,TOPK_RETRIEVER,TOPK_RANKER,RANK1_MEAN,NDCG_LIMIT,NDCG_MEAN,TIME_SPENT_MEAN,CRITERIA,RETRIEVER_TYPE,RETRIEVER_MODEL_NAME,RANKER_MODEL_NAME
2023-Jun-24 00:05:01,100,0.0,0.0,300,0.0,3.75,12,62.094,0.693,area,bm25,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 00:06:13,100,0.0,0.0,300,0.0,3.75,12,62.094,0.719,area,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 00:06:16,100,0.0,0.0,300,0.0,3.62,12,61.063,0.024,area,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 00:06:18,100,0.0,0.0,300,0.0,5.48,12,50.063,0.013,area,bm25,,
2023-Jun-24 00:06:21,100,0.0,0.0,300,0.0,3.62,12,61.063,0.033,area,join_sts_bm25,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 00:40:25,100,0.0,4.0,300,0.0,26.906,12,53.78,20.433,theme,bm25,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 01:15:15,100,0.0,2.0,300,0.0,25.102,12,51.224,20.903,theme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 01:15:30,100,0.0,2.0,300,0.0,49.122,12,19.072,0.146,theme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 01:15:43,100,0.0,4.0,300,0.0,29.396,12,40.082,0.129,theme,bm25,,
2023-Jun-24 01:15:59,100,0.0,4.0,300,0.0,51.323,12,12.671,0.159,theme,join_sts_bm25,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 01:50:50,100,0.0,31.0,300,0.0,24.507,12,35.3,20.907,subtheme,bm25,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 02:24:48,100,0.0,26.0,300,0.0,31.27,12,32.44,20.375,subtheme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 02:25:03,100,0.0,26.0,300,0.0,79.581,12,12.985,0.146,subtheme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 02:25:16,100,0.0,31.0,300,0.0,53.072,12,23.531,0.128,subtheme,bm25,,
2023-Jun-24 02:25:32,100,0.0,29.0,300,0.0,69.845,12,8.574,0.159,subtheme,join_sts_bm25,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 03:00:54,100,0.0,14.0,300,0.0,18.384,12,26.719,21.217,extra,bm25,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 03:35:02,100,0.0,21.0,300,0.0,25.342,12,23.102,20.476,extra,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 03:35:17,100,0.0,21.0,300,0.0,84.658,12,6.022,0.147,extra,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 03:35:30,100,0.0,14.0,300,0.0,31.907,12,19.34,0.128,extra,bm25,,
2023-Jun-24 03:35:46,100,0.0,17.0,300,0.0,63.976,12,9.972,0.163,extra,join_sts_bm25,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 04:11:02,100,0.0,1.0,300,0.0,4.475,12,37.518,21.158,total,bm25,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 04:45:05,100,0.0,0.0,300,0.0,7.87,12,33.769,20.426,total,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-24 04:45:20,100,0.0,0.0,300,0.0,38.75,12,7.473,0.148,total,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 04:45:34,100,0.0,1.0,300,0.0,9.152,12,26.739,0.129,total,bm25,,
2023-Jun-24 04:45:50,100,0.0,1.0,300,0.0,34.192,12,10.142,0.163,total,join_sts_bm25,rufimelo/Legal-BERTimbau-sts-large-ma-v3,
2023-Jun-24 08:32:11,100,0.0,0.0,300,0.0,4.61,12,51.971,0.035,area,bm25,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:32:16,100,0.0,0.0,300,0.0,4.61,12,51.971,0.05,area,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:33:33,100,0.0,4.0,300,0.0,53.042,12,32.499,0.764,theme,bm25,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:34:51,100,0.0,2.0,300,0.0,57.337,12,32.199,0.781,theme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:36:11,100,0.0,31.0,300,0.0,74.42,12,22.944,0.791,subtheme,bm25,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:37:30,100,0.0,26.0,300,0.0,80.689,12,22.481,0.788,subtheme,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:38:50,100,0.0,14.0,300,0.0,57.767,12,11.498,0.8,extra,bm25,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:40:10,100,0.0,21.0,300,0.0,65.848,12,10.528,0.795,extra,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:41:30,100,0.0,1.0,300,0.0,16.727,12,23.082,0.799,total,bm25,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-24 08:42:50,100,0.0,0.0,300,0.0,25.03,12,21.387,0.798,total,sts,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
